kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
506761;Alojzov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506761&xvyber=7103;205;145;144;29;0;0;9;0;5;17;4;1;1;0;0;18;0;5;32;0;0;6;0;0;1;1;15;0
589268;Bedihoöù;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589268&xvyber=7103;834;527;524;51;0;0;28;1;13;123;2;2;14;1;0;34;0;6;140;0;0;26;0;0;0;0;82;1
589276;BÌlovice-LutotÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589276&xvyber=7103;431;279;275;13;0;0;32;0;8;40;1;0;4;0;0;30;0;3;83;0;0;22;0;0;0;1;38;0
589284;Biskupice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589284&xvyber=7103;238;132;131;14;0;0;9;0;5;24;2;1;1;0;0;10;2;0;34;0;0;10;0;0;0;0;19;0
589292;Bohuslavice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589292&xvyber=7103;376;236;236;20;0;0;23;0;3;22;3;4;6;0;1;17;0;4;53;1;1;39;0;0;3;0;36;0
589306;BousÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589306&xvyber=7103;107;67;67;5;0;0;4;0;3;14;0;2;0;0;0;7;0;2;10;0;0;9;0;0;0;0;11;0
589314;Brodek u Konice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589314&xvyber=7103;695;460;460;25;0;0;32;0;20;47;3;4;5;0;0;38;1;5;144;0;0;60;1;0;1;0;72;2
589322;Brodek u ProstÏjova;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589322&xvyber=7103;1†224;656;655;54;0;0;42;0;21;61;5;4;11;1;2;57;0;22;202;0;1;53;2;1;3;4;107;2
589331;B¯ezsko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589331&xvyber=7103;178;111;111;9;1;0;9;0;6;3;0;3;1;0;0;10;1;2;36;0;0;17;0;0;0;0;13;0
589349;BudÏtsko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589349&xvyber=7103;331;208;206;6;0;0;24;0;6;22;1;3;2;0;0;7;1;3;58;0;1;32;0;1;2;0;35;2
