kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
588318;BÏlov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=588318&xvyber=7204;257;174;174;25;0;0;8;0;14;20;1;0;2;0;0;14;0;6;51;0;0;9;4;0;0;20;0
585076;Biskupice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585076&xvyber=7204;564;314;314;17;1;0;16;0;15;34;2;6;15;0;0;16;0;1;102;0;1;38;2;0;2;42;4
557102;Bohuslavice nad Vl·¯Ì;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=557102&xvyber=7204;315;201;201;19;1;0;24;1;8;13;2;3;1;1;0;16;0;2;65;1;0;22;0;0;3;18;1
585092;Bohuslavice u ZlÌna;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585092&xvyber=7204;637;399;397;32;0;0;28;0;36;24;6;5;5;0;0;21;0;8;125;0;3;40;1;2;0;54;7
585106;Brat¯ejov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585106&xvyber=7204;640;422;419;20;12;0;34;0;29;35;7;5;3;0;0;35;0;4;97;1;0;76;1;0;1;55;4
585114;Brumov-Bylnice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585114&xvyber=7204;4†531;2†599;2†582;158;7;1;239;1;159;159;19;12;41;2;1;160;1;38;765;0;3;495;23;2;4;282;10
538744;B¯eznice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=538744&xvyber=7204;1†032;687;681;82;0;2;36;0;49;33;4;4;23;0;0;45;1;22;212;0;0;70;0;0;1;91;6
585131;B¯ezov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585131&xvyber=7204;375;262;261;18;1;0;14;0;16;24;3;4;1;0;0;23;0;4;71;0;0;44;0;1;0;33;4
585149;B¯ez˘vky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585149&xvyber=7204;567;359;356;23;3;0;18;0;16;19;3;3;4;0;0;36;2;8;102;0;0;41;0;2;0;74;2
585157;Deön·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585157&xvyber=7204;165;103;103;2;0;0;6;0;16;7;0;0;5;0;0;4;0;1;32;0;0;19;1;0;0;10;0
585165;Dobrkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585165&xvyber=7204;215;143;143;11;1;0;20;0;4;7;0;5;3;0;0;3;0;0;38;0;1;29;1;0;0;20;0
585173;DolnÌ Lhota;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585173&xvyber=7204;504;354;353;21;1;0;17;0;20;15;2;2;1;2;0;23;0;3;84;0;3;125;2;0;1;27;4
585181;Doubravy;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585181&xvyber=7204;436;271;270;38;2;0;19;0;26;10;5;0;0;0;1;22;0;10;77;0;0;15;0;0;0;43;2
585190;Drnovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585190&xvyber=7204;329;217;216;5;0;0;15;0;24;6;2;5;0;0;0;15;0;5;51;0;0;73;2;0;0;13;0
585203;Drûkov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585203&xvyber=7204;299;194;194;14;1;0;15;1;13;10;0;1;1;0;0;13;1;3;72;0;0;22;0;0;0;27;0
585211;Fryöt·k;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585211&xvyber=7204;3†037;1†972;1†952;267;3;0;133;0;101;80;28;8;46;1;3;125;0;76;536;0;3;259;5;3;0;260;15
585220;Halenkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585220&xvyber=7204;1†502;887;886;49;5;1;47;3;51;97;9;5;10;1;2;70;2;21;316;0;2;61;4;0;1;124;5
585238;Haluzice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585238&xvyber=7204;70;46;46;0;0;0;5;0;1;5;0;0;1;0;0;3;0;1;13;0;0;5;0;0;0;12;0
585246;HornÌ Lhota;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585246&xvyber=7204;457;315;315;35;0;0;21;0;20;23;2;2;1;0;0;33;0;19;68;1;0;65;0;1;0;24;0
585254;Hostiöov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585254&xvyber=7204;386;238;236;14;1;1;6;0;20;15;0;1;2;0;0;17;0;6;57;0;0;41;3;2;1;43;6
585262;Hrobice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585262&xvyber=7204;381;218;217;24;3;0;21;1;18;11;2;4;1;1;0;10;0;2;49;0;0;40;0;1;0;28;1
585271;H¯ivÌn˘v ⁄jezd;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585271&xvyber=7204;452;283;283;16;0;0;20;0;17;25;1;0;1;0;0;14;0;4;92;1;0;38;0;0;0;52;2
585289;Hvozdn·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585289&xvyber=7204;1†016;713;707;78;1;1;60;0;42;33;8;2;9;0;0;76;1;20;158;0;2;116;8;3;1;85;3
585301;Jasenn·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585301&xvyber=7204;761;494;493;54;1;0;28;1;41;36;6;4;16;0;1;38;0;16;130;0;2;33;4;1;2;76;3
585319;Jest¯abÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585319&xvyber=7204;232;115;115;7;1;0;15;0;8;13;0;4;1;0;0;6;0;2;22;0;0;28;0;0;1;5;2
585327;KaÚovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585327&xvyber=7204;225;144;143;3;0;0;8;0;4;25;2;1;2;0;0;13;0;0;27;0;2;19;1;0;0;34;2
587052;Karlovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=587052&xvyber=7204;192;135;134;11;0;0;9;0;5;8;0;1;1;0;0;9;0;4;47;0;1;20;1;0;0;17;0
585343;Kaöava;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585343&xvyber=7204;718;502;499;30;1;0;25;0;44;23;5;4;6;0;1;31;0;7;117;1;0;111;5;1;0;86;1
592251;KelnÌky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=592251&xvyber=7204;127;93;93;12;0;0;7;0;2;8;3;1;1;0;0;4;0;1;15;0;2;21;0;0;0;15;1
549436;Kom·rov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549436&xvyber=7204;285;187;185;6;6;0;10;1;9;13;3;0;4;0;0;17;0;4;42;0;0;25;4;3;1;34;3
586960;K¯ekov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=586960&xvyber=7204;138;84;82;3;0;0;7;1;11;7;0;0;0;0;0;7;0;2;11;0;0;14;0;0;0;19;0
573434;Lhota;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=573434&xvyber=7204;695;448;445;22;2;0;18;1;21;24;3;2;5;0;1;53;1;9;126;0;1;104;0;3;2;42;5
549550;Lhotsko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549550&xvyber=7204;228;141;141;9;0;0;10;0;11;3;0;2;3;0;1;21;0;8;45;0;0;5;0;1;0;22;0
549622;LÌpa;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549622&xvyber=7204;683;495;490;75;2;1;20;0;22;25;2;4;8;0;0;66;0;23;132;1;0;47;1;0;0;60;1
586871;Lipov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=586871&xvyber=7204;289;199;199;13;1;0;7;0;6;14;2;3;3;0;0;14;0;3;67;0;0;31;2;0;0;31;2
585432;LouËka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585432&xvyber=7204;429;253;250;21;0;0;9;0;16;22;1;4;4;1;0;15;1;1;68;0;1;55;0;0;0;28;3
585441;Ludkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585441&xvyber=7204;575;394;392;34;0;0;36;0;16;17;4;0;14;0;0;48;0;15;112;0;0;43;2;1;0;45;5
585459;LuhaËovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585459&xvyber=7204;4†784;3†247;3†232;339;4;3;197;1;159;216;46;15;76;1;5;296;1;131;940;2;5;355;44;4;1;350;41
585467;Lukov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585467&xvyber=7204;1†443;945;941;134;4;0;61;0;60;51;9;4;13;0;1;76;0;25;262;0;2;140;2;0;1;85;11
557145;LukoveËek;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=557145&xvyber=7204;343;259;258;31;0;0;11;0;20;15;4;1;2;0;0;18;0;10;56;0;1;20;3;0;0;64;2
585483;Lutonina;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585483&xvyber=7204;331;199;198;14;2;0;14;1;15;21;4;5;1;2;0;12;0;4;75;0;0;8;1;0;0;16;3
585491;Machov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585491&xvyber=7204;505;310;307;9;2;4;18;0;18;23;0;6;5;0;0;16;0;2;106;0;0;45;3;0;0;48;2
585505;MysloËovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585505&xvyber=7204;489;352;350;40;0;0;17;0;30;24;0;2;4;0;1;26;2;8;73;0;3;64;2;1;0;50;3
585513;Napajedla;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585513&xvyber=7204;5†961;3†750;3†695;334;14;7;197;3;160;269;60;23;46;3;3;409;1;92;1†251;4;8;232;20;7;4;526;22
